arr_delay,dep_delay,carrier,tailnum,origin,dest,distance,time
-12,-4,UA,N17133,LAX,JFK,2475,2022-02-04T07:20:00Z
-9,2,WN,N732SW,LAX,TUS,451,2022-02-04T08:05:00Z
-1,-8,OO,N613CZ,LAX,DEN,862,2022-02-04T08:07:00Z
-10,-6,OO,N162SY,LAX,SBP,156,2022-02-04T09:40:00Z
-31,0,DL,N589NW,LAX,HNL,2556,2022-02-04T13:32:00Z
-21,-13,G4,319NV,LAX,BLI,1047,2022-02-04T18:12:00Z
-19,-8,UA,N406UA,LAX,AUS,1242,2022-02-04T19:06:00Z
-8,-5,OO,N293SY,LAX,RNO,391,2022-02-04T19:26:00Z
8,11,DL,N536US,LAX,ATL,1947,2022-02-04T22:40:00Z
10,13,DL,N383DZ,LAX,ATL,1947,2022-02-04T23:30:00Z
-16,-3,UA,N76265,LAX,IAH,1379,2022-02-05T05:45:00Z
-12,-3,OO,N288SY,LAX,PHX,370,2022-02-05T08:20:00Z
-4,-1,AA,N413AN,LAX,PHL,2402,2022-02-05T09:37:00Z
-13,-6,NK,N913NK,LAX,OAK,337,2022-02-05T13:00:00Z
-22,-6,OO,N701BR,LAX,MFR,630,2022-02-05T13:11:00Z
-1,3,WN,N8520Q,LAX,HOU,1390,2022-02-05T18:35:00Z
57,87,AS,N435AS,LAX,ANC,2345,2022-02-05T19:20:00Z
2,-1,OO,N176SY,LAX,BOI,674,2022-02-05T19:50:00Z
20,28,UA,N16009,LAX,EWR,2454,2022-02-05T21:30:00Z
-16,-8,AA,N107NN,LAX,BOS,2611,2022-02-05T23:59:00Z
-6,-5,WN,N7843A,LAX,DAL,1246,2022-02-06T05:25:00Z
-11,-5,NK,N524NK,LAX,BNA,1797,2022-02-06T05:50:00Z
-12,-8,AA,N977UY,LAX,CLT,2125,2022-02-06T07:10:00Z
-10,0,AA,N111ZM,LAX,BOS,2611,2022-02-06T08:00:00Z
6,-5,NK,N945NK,LAX,SDF,1843,2022-02-06T08:20:00Z
-9,-9,DL,N833MH,LAX,JFK,2475,2022-02-06T11:35:00Z
-24,-3,UA,N76502,LAX,SFO,337,2022-02-06T13:35:00Z
21,7,DL,N322DN,LAX,DTW,1979,2022-02-06T14:25:00Z
-2,2,NK,N527NK,LAX,DFW,1235,2022-02-06T14:30:00Z
112,109,AA,N157AA,LAX,PHX,370,2022-02-06T15:16:00Z
30,36,B6,N655JB,LAX,RNO,391,2022-02-06T15:40:00Z
-18,0,OO,N285SY,LAX,SMF,373,2022-02-06T16:00:00Z
-2,-3,NK,N635NK,LAX,CMH,1995,2022-02-06T16:00:00Z
3,-10,UA,N37514,LAX,DEN,862,2022-02-06T16:10:00Z
56,27,AA,N967NN,LAX,ORD,1744,2022-02-06T17:30:00Z
10,13,WN,N8809L,LAX,SLC,590,2022-02-06T19:35:00Z
-15,-8,AA,N417AN,LAX,OGG,2486,2022-02-07T11:02:00Z
7,-10,B6,N987JT,LAX,JFK,2475,2022-02-07T12:41:00Z
7,-3,UA,N34222,LAX,CLE,2052,2022-02-07T13:06:00Z
16,13,WN,N7702A,LAX,DAL,1246,2022-02-07T14:20:00Z
-4,7,OO,N300SY,LAX,OAK,337,2022-02-07T18:25:00Z
